poll_id,date,pollster,state,method,voter_type,sample_size,margin_of_error,harris_pct,trump_pct,undecided
328,2024-06-15,RMG Research,MI,Mixed,LV,1159,2.9,48.1,47.6,4.4
329,2024-06-15,Morning Consult,AZ,Online,RV,911,3.2,46.1,50.9,3
330,2024-06-15,RMG Research,NV,Mixed,LV,1193,2.8,43.2,51.3,5.5
331,2024-06-15,Emerson,MI,Mixed,RV,1022,3.1,43.3,49.3,7.3
332,2024-06-16,Emerson,AZ,Mixed,RV,1124,2.9,51.1,47,1.9
333,2024-06-16,Emerson,MI,Mixed,RV,945,3.2,52.6,41.7,5.8
334,2024-06-16,Emerson,NAT,Mixed,RV,828,3.4,47,46.8,6.2
335,2024-06-16,Emerson,GA,Mixed,LV,1139,2.9,45.8,48.8,5.4
336,2024-06-16,YouGov,PA,Online,RV,955,3.2,45.3,49.2,5.6
337,2024-06-16,YouGov,GA,Online,RV,945,3.2,47.4,49.3,3.3
338,2024-06-16,RMG Research,NV,Mixed,RV,1130,2.9,47.3,46,6.8
339,2024-06-17,Morning Consult,GA,Online,RV,1021,3.1,50.4,45.8,3.8
340,2024-06-17,Emerson,WI,Mixed,LV,996,3.1,45.5,49.3,5.2
341,2024-06-17,YouGov,PA,Online,RV,856,3.3,48.9,44.4,6.7
342,2024-06-17,Morning Consult,NAT,Online,RV,1070,3,47.3,49.1,3.6
343,2024-06-17,Siena College,PA,Phone,LV,1155,2.9,42.7,50.1,7.1
344,2024-06-17,Emerson,PA,Mixed,RV,1017,3.1,48,45.4,6.7
345,2024-06-19,Emerson,AZ,Mixed,RV,988,3.1,49.9,47.5,2.5
346,2024-06-19,Siena College,GA,Phone,RV,1087,3,45.6,47.7,6.7
347,2024-06-19,RMG Research,PA,Mixed,RV,916,3.2,51,43.3,5.7
348,2024-06-19,Emerson,PA,Mixed,LV,1091,3,48.8,45.9,5.3
349,2024-06-19,Morning Consult,MI,Online,RV,987,3.1,48.2,45.8,6.1
350,2024-06-19,YouGov,AZ,Online,RV,821,3.4,56.2,39.8,4
351,2024-06-19,YouGov,WI,Online,RV,843,3.4,51.5,47.3,1.2
352,2024-06-19,RMG Research,MI,Mixed,LV,829,3.4,45.5,49.2,5.3
353,2024-06-20,RMG Research,NV,Mixed,RV,1179,2.9,44.9,49,6.1
354,2024-06-20,Emerson,MI,Mixed,RV,955,3.2,49.7,47.8,2.5
355,2024-06-20,Morning Consult,NAT,Online,RV,837,3.4,48.7,49.1,2.2
356,2024-06-20,YouGov,WI,Online,RV,946,3.2,49.6,45.9,4.5
357,2024-06-20,Siena College,GA,Phone,RV,1082,3,43.5,50,6.4
358,2024-06-20,Siena College,AZ,Phone,RV,1018,3.1,48,44.5,7.5
359,2024-06-20,Siena College,WI,Phone,LV,1070,3,51.4,45.6,3
360,2024-06-20,Morning Consult,WI,Online,RV,1022,3.1,49.5,47.8,2.7
361,2024-06-21,Morning Consult,PA,Online,LV,1166,2.9,58.1,39.1,2.7
362,2024-06-21,RMG Research,NV,Mixed,RV,1078,3,41.9,51.8,6.4
363,2024-06-21,Siena College,NAT,Phone,LV,977,3.1,49.6,44,6.4
364,2024-06-21,Morning Consult,MI,Online,RV,932,3.2,48.9,47.2,3.9
365,2024-06-21,Emerson,MI,Mixed,LV,1074,3,51.1,42.5,6.3
366,2024-06-22,Emerson,PA,Mixed,RV,953,3.2,46.4,48.1,5.6
367,2024-06-22,Siena College,GA,Phone,RV,1014,3.1,50.3,46.1,3.6
368,2024-06-22,Morning Consult,WI,Online,RV,1046,3,50.2,45,4.8
369,2024-06-22,Siena College,NV,Phone,LV,1066,3,45.8,45.7,8.5
370,2024-06-22,RMG Research,NAT,Mixed,RV,915,3.2,51.6,44.7,3.6
371,2024-06-23,YouGov,GA,Online,LV,1056,3,47.4,48.4,4.2
372,2024-06-23,YouGov,PA,Online,LV,1122,2.9,49.4,46.2,4.4
373,2024-06-23,Morning Consult,AZ,Online,RV,978,3.1,44.8,51.7,3.5
374,2024-06-23,YouGov,AZ,Online,RV,1065,3,49.8,46.6,3.6
375,2024-06-23,Siena College,PA,Phone,LV,1071,3,48.5,48.8,2.7
376,2024-06-24,YouGov,PA,Online,RV,951,3.2,50.5,44.6,4.9
377,2024-06-24,Morning Consult,NV,Online,RV,1071,3,45.1,46.3,8.6
378,2024-06-24,RMG Research,AZ,Mixed,LV,940,3.2,49.5,45.2,5.3
379,2024-06-24,Morning Consult,NV,Online,RV,975,3.1,46.8,48,5.2
380,2024-06-24,Emerson,NAT,Mixed,RV,895,3.3,51.9,46.8,1.3
381,2024-06-25,Siena College,GA,Phone,RV,1001,3.1,44.7,52,3.2
382,2024-06-25,YouGov,GA,Online,RV,1024,3.1,51.8,44.5,3.7
383,2024-06-25,RMG Research,WI,Mixed,RV,978,3.1,45.5,49.2,5.4
384,2024-06-25,Emerson,NV,Mixed,RV,863,3.3,44.1,49.3,6.6
385,2024-06-25,YouGov,NV,Online,LV,860,3.3,44.9,45.4,9.7
386,2024-06-25,Emerson,NAT,Mixed,RV,1027,3.1,49.9,44.9,5.2
387,2024-06-26,YouGov,MI,Online,RV,1113,2.9,45.7,47.2,7.2
388,2024-06-26,Siena College,AZ,Phone,RV,1045,3,49.6,47.1,3.2
389,2024-06-26,Siena College,PA,Phone,RV,994,3.1,49.6,47.1,3.2
390,2024-06-27,YouGov,NAT,Online,RV,965,3.2,46.7,51.1,2.2
391,2024-06-27,YouGov,GA,Online,LV,1083,3,43.7,49.6,6.6
392,2024-06-27,Morning Consult,NV,Online,RV,915,3.2,46.8,46.3,6.9
393,2024-06-27,Siena College,GA,Phone,RV,1154,2.9,48.3,42.5,9.2
394,2024-06-28,Emerson,MI,Mixed,RV,860,3.3,46.1,46.4,7.4
395,2024-06-28,YouGov,PA,Online,LV,915,3.2,52.3,41.5,6.2
396,2024-06-28,Emerson,NAT,Mixed,RV,818,3.4,45.8,49.1,5.1
397,2024-06-28,YouGov,NAT,Online,RV,913,3.2,47,44.7,8.3
398,2024-06-28,Emerson,WI,Mixed,LV,891,3.3,47.7,48.1,4.2
399,2024-06-28,Morning Consult,MI,Online,RV,1001,3.1,53,43.4,3.5
400,2024-06-29,YouGov,NV,Online,LV,1108,2.9,46.5,48.6,4.9
401,2024-06-29,Morning Consult,NAT,Online,LV,957,3.2,47.6,45,7.5
402,2024-06-29,Morning Consult,NV,Online,LV,895,3.3,43.7,52.7,3.6
403,2024-06-29,Emerson,NV,Mixed,RV,889,3.3,50.6,45.3,4.1
404,2024-06-29,RMG Research,WI,Mixed,RV,1023,3.1,52.2,45.1,2.6
405,2024-06-30,Emerson,WI,Mixed,LV,951,3.2,49.6,44,6.3
406,2024-06-30,Siena College,NV,Phone,LV,873,3.3,47.7,48.7,3.6
407,2024-06-30,Morning Consult,NV,Online,RV,1169,2.9,50.2,46.6,3.3
408,2024-07-01,Emerson,WI,Mixed,RV,970,3.1,45.8,48.4,5.8
409,2024-07-01,RMG Research,NAT,Mixed,LV,1222,2.8,45.9,48.6,5.5
410,2024-07-01,RMG Research,AZ,Mixed,LV,1250,2.8,49.9,44.4,5.7
411,2024-07-01,RMG Research,PA,Mixed,RV,897,3.3,52.2,44.5,3.4
412,2024-07-01,Siena College,WI,Phone,LV,1016,3.1,51,44,5
413,2024-07-01,Siena College,NAT,Phone,RV,1010,3.1,50.7,44.1,5.2
414,2024-07-02,Morning Consult,MI,Online,RV,1177,2.9,46.6,47.7,5.7
415,2024-07-02,RMG Research,MI,Mixed,RV,1017,3.1,48.5,45.4,6.1
416,2024-07-02,YouGov,AZ,Online,RV,924,3.2,45.4,49.5,5.1
417,2024-07-03,YouGov,GA,Online,RV,911,3.2,44.4,52.8,2.8
418,2024-07-03,Emerson,PA,Mixed,RV,968,3.1,53.4,45.9,0.7
419,2024-07-03,Emerson,WI,Mixed,LV,957,3.2,47.1,50.9,2
420,2024-07-03,YouGov,WI,Online,RV,1050,3,50.2,44.6,5.2
421,2024-07-04,YouGov,GA,Online,LV,1005,3.1,39.8,56.9,3.3
422,2024-07-04,Morning Consult,MI,Online,LV,1139,2.9,47.9,49.1,2.9
423,2024-07-04,Emerson,AZ,Mixed,RV,1141,2.9,44.6,48.4,7
424,2024-07-04,Siena College,NAT,Phone,LV,957,3.2,49.3,45.8,4.8
425,2024-07-04,YouGov,PA,Online,LV,866,3.3,48.1,46.7,5.2
426,2024-07-05,Emerson,WI,Mixed,LV,1146,2.9,50.3,43.8,6
427,2024-07-05,Siena College,GA,Phone,RV,1092,3,46,48.1,5.9
428,2024-07-05,RMG Research,MI,Mixed,RV,857,3.3,51.7,44.1,4.2
429,2024-07-06,Emerson,NV,Mixed,LV,921,3.2,45.4,52.5,2.1
430,2024-07-06,YouGov,WI,Online,RV,988,3.1,44.2,49.1,6.7
431,2024-07-06,Emerson,NV,Mixed,LV,987,3.1,44.1,52.4,3.5
432,2024-07-06,RMG Research,PA,Mixed,LV,1107,2.9,46.9,48.2,4.9
433,2024-07-06,Siena College,MI,Phone,RV,1115,2.9,51.3,43.9,4.8
434,2024-07-07,RMG Research,NAT,Mixed,RV,775,3.5,46.9,46.4,6.7
435,2024-07-07,Siena College,PA,Phone,RV,1069,3,48.2,43.3,8.4
436,2024-07-07,YouGov,AZ,Online,RV,954,3.2,48.7,48.5,2.8
437,2024-07-07,YouGov,WI,Online,RV,1074,3,46.8,46.9,6.4
438,2024-07-08,Emerson,NAT,Mixed,RV,986,3.1,47.7,49.8,2.5
439,2024-07-08,YouGov,MI,Online,RV,1072,3,53.8,42.8,3.4
440,2024-07-08,RMG Research,NV,Mixed,RV,1052,3,43,50.1,6.9
441,2024-07-08,Emerson,WI,Mixed,RV,1008,3.1,48.6,45.9,5.5
442,2024-07-08,Morning Consult,AZ,Online,LV,944,3.2,43.9,53.8,2.3
443,2024-07-08,Morning Consult,NAT,Online,RV,1029,3.1,46.9,48.6,4.5
444,2024-07-09,Siena College,NAT,Phone,RV,888,3.3,49.2,45,5.8
445,2024-07-09,YouGov,AZ,Online,LV,900,3.3,46.1,49.1,4.8
446,2024-07-09,Emerson,PA,Mixed,RV,963,3.2,47.6,45.1,7.3
447,2024-07-09,Emerson,AZ,Mixed,LV,1045,3,46.6,45.7,7.6
448,2024-07-09,Morning Consult,PA,Online,RV,1017,3.1,49,47.2,3.8
449,2024-07-09,YouGov,MI,Online,RV,813,3.4,45,49.8,5.1
450,2024-07-09,Siena College,NAT,Phone,RV,890,3.3,48,48.7,3.3
451,2024-07-09,Morning Consult,NV,Online,RV,1095,3,46.9,44.5,8.6
452,2024-07-10,Morning Consult,WI,Online,RV,1129,2.9,44.4,49.2,6.4
453,2024-07-10,RMG Research,NAT,Mixed,LV,803,3.5,46.8,47.7,5.5
454,2024-07-10,Morning Consult,AZ,Online,RV,996,3.1,45.7,50.8,3.4
455,2024-07-10,YouGov,NAT,Online,LV,894,3.3,48.3,47.3,4.4
456,2024-07-11,Siena College,MI,Phone,RV,1075,3,51.1,42,6.9
457,2024-07-12,Morning Consult,NV,Online,RV,1022,3.1,48.5,48.5,3
458,2024-07-12,Siena College,GA,Phone,RV,1130,2.9,47.5,50.3,2.2
459,2024-07-12,RMG Research,AZ,Mixed,RV,992,3.1,44.4,50.4,5.2
460,2024-07-12,RMG Research,NAT,Mixed,RV,825,3.4,46.9,47.2,6
461,2024-07-12,Morning Consult,GA,Online,LV,983,3.1,44.4,50.9,4.8
462,2024-07-12,RMG Research,MI,Mixed,RV,994,3.1,45.9,44.7,9.3
463,2024-07-12,RMG Research,MI,Mixed,LV,1016,3.1,49.1,45.1,5.8
464,2024-07-13,RMG Research,WI,Mixed,RV,919,3.2,46,51.8,2.2
465,2024-07-13,RMG Research,NV,Mixed,LV,994,3.1,47.5,47.4,5.1
466,2024-07-13,Morning Consult,WI,Online,LV,1041,3,48.2,46.2,5.6
467,2024-07-13,Morning Consult,NAT,Online,LV,1066,3,46.4,47.1,6.4
468,2024-07-13,Morning Consult,MI,Online,RV,1031,3.1,46.1,48.4,5.5
469,2024-07-14,Siena College,NAT,Phone,LV,1042,3,50.9,45.1,4
470,2024-07-14,Morning Consult,MI,Online,RV,933,3.2,46.4,49.4,4.2
471,2024-07-14,RMG Research,GA,Mixed,RV,887,3.3,42.7,48.6,8.7
472,2024-07-14,RMG Research,AZ,Mixed,LV,962,3.2,48.3,46.4,5.3
473,2024-07-14,Emerson,WI,Mixed,LV,867,3.3,47.3,47.5,5.2
474,2024-07-14,Morning Consult,GA,Online,RV,924,3.2,48.1,46.5,5.4
475,2024-07-15,Morning Consult,NV,Online,LV,946,3.2,47.8,47,5.3
476,2024-07-15,Emerson,MI,Mixed,LV,940,3.2,46.1,49.8,4.2
477,2024-07-15,Siena College,AZ,Phone,RV,1121,2.9,47.3,47.3,5.4
478,2024-07-16,Morning Consult,MI,Online,RV,983,3.1,46,45.3,8.7
479,2024-07-16,Morning Consult,NAT,Online,RV,1022,3.1,49.4,45.3,5.3
480,2024-07-16,Morning Consult,AZ,Online,RV,937,3.2,49.1,48,2.9
481,2024-07-16,YouGov,PA,Online,RV,1072,3,47.2,48.1,4.7
482,2024-07-16,Emerson,NAT,Mixed,RV,1004,3.1,45.7,49.6,4.7
483,2024-07-16,RMG Research,WI,Mixed,RV,944,3.2,46.1,48.5,5.3
484,2024-07-16,Morning Consult,NAT,Online,RV,856,3.3,52.1,41,6.9
485,2024-07-16,Morning Consult,PA,Online,RV,1112,2.9,48.2,46.1,5.7
486,2024-07-16,Morning Consult,GA,Online,RV,1021,3.1,45.5,50.1,4.4
487,2024-07-16,Siena College,NV,Phone,RV,971,3.1,42.9,50.6,6.5
488,2024-07-16,Morning Consult,NAT,Online,RV,1078,3,51.9,43.3,4.9
489,2024-07-17,Emerson,MI,Mixed,RV,1042,3,47.7,48.4,4
490,2024-07-17,Morning Consult,MI,Online,RV,1150,2.9,47.2,47.5,5.3
491,2024-07-18,Siena College,PA,Phone,LV,934,3.2,45.3,48.6,6.1
492,2024-07-19,Morning Consult,GA,Online,RV,1009,3.1,43.8,51.2,5
493,2024-07-19,Morning Consult,PA,Online,RV,964,3.2,48.6,47.6,3.8
494,2024-07-19,Siena College,WI,Phone,RV,933,3.2,48.7,47.3,3.9
495,2024-07-20,Emerson,AZ,Mixed,LV,820,3.4,43.4,51.6,5
496,2024-07-20,YouGov,AZ,Online,RV,884,3.3,44.6,49.4,6
497,2024-07-20,Siena College,WI,Phone,RV,1009,3.1,47.9,46.6,5.5
498,2024-07-20,Emerson,PA,Mixed,RV,985,3.1,47,42.9,10.1
499,2024-07-20,RMG Research,AZ,Mixed,RV,990,3.1,49.9,44.3,5.8
500,2024-07-20,RMG Research,NAT,Mixed,RV,1173,2.9,47.5,47.6,4.9
501,2024-07-21,RMG Research,NV,Mixed,RV,783,3.5,43.6,50.3,6
502,2024-07-21,Emerson,AZ,Mixed,LV,1032,3.1,44.8,51.2,4
503,2024-07-21,YouGov,NAT,Online,RV,906,3.3,51.1,48.1,0.7
504,2024-07-21,Emerson,MI,Mixed,RV,1056,3,54.8,36,9.2
505,2024-07-21,Siena College,NAT,Phone,LV,1081,3,45.6,48.5,5.9
506,2024-07-22,Morning Consult,WI,Online,LV,829,3.4,44.5,47.8,7.7
507,2024-07-22,YouGov,PA,Online,RV,1120,2.9,48.3,46.4,5.3
508,2024-07-23,YouGov,MI,Online,RV,1008,3.1,50.6,44.2,5.3
509,2024-07-24,Emerson,NAT,Mixed,RV,950,3.2,47.7,48.3,4
510,2024-07-24,Siena College,GA,Phone,RV,1109,2.9,44.9,46.2,8.9
511,2024-07-25,YouGov,AZ,Online,LV,951,3.2,48.2,48.5,3.3
512,2024-07-25,Morning Consult,WI,Online,LV,952,3.2,47.2,49.6,3.2
513,2024-07-25,YouGov,WI,Online,RV,1037,3,49.7,44.7,5.6
514,2024-07-25,Siena College,PA,Phone,RV,989,3.1,47.2,49.6,3.2
515,2024-07-25,Morning Consult,GA,Online,LV,930,3.2,44.2,48,7.8
516,2024-07-26,Emerson,AZ,Mixed,RV,904,3.3,42.5,55.3,2.2
517,2024-07-26,Emerson,NAT,Mixed,LV,1226,2.8,45.5,53.6,0.9
518,2024-07-26,Morning Consult,AZ,Online,LV,1020,3.1,47.6,51.8,0.6
519,2024-07-26,YouGov,AZ,Online,RV,916,3.2,43.8,49.6,6.6
520,2024-07-26,YouGov,NV,Online,RV,914,3.2,44.1,52.5,3.4
521,2024-07-26,Emerson,GA,Mixed,RV,1030,3.1,43.6,49.1,7.3
522,2024-07-26,Morning Consult,PA,Online,RV,1112,2.9,48.2,45.8,6.1
523,2024-07-26,Siena College,MI,Phone,RV,1011,3.1,52.3,40.2,7.4
524,2024-07-26,RMG Research,GA,Mixed,RV,1159,2.9,45.8,51.1,3.1
525,2024-07-27,Morning Consult,WI,Online,RV,1137,2.9,52,44.2,3.8
526,2024-07-27,YouGov,NV,Online,LV,948,3.2,45.5,48,6.6
527,2024-07-27,Emerson,MI,Mixed,RV,994,3.1,47,48.3,4.7
528,2024-07-27,Siena College,AZ,Phone,RV,894,3.3,44.8,50.2,5.1
529,2024-07-27,Morning Consult,WI,Online,RV,984,3.1,48.7,43.6,7.7
530,2024-07-27,Morning Consult,NAT,Online,RV,904,3.3,46.7,48.6,4.7
531,2024-07-27,RMG Research,NAT,Mixed,RV,1018,3.1,47.7,49.9,2.4
532,2024-07-28,Morning Consult,PA,Online,LV,1117,2.9,46.3,47.4,6.3
533,2024-07-28,Morning Consult,NAT,Online,RV,1153,2.9,49.8,44.3,5.9
534,2024-07-28,Morning Consult,GA,Online,RV,1119,2.9,50.7,43.7,5.6
535,2024-07-29,Emerson,NV,Mixed,RV,1068,3,45.4,45.9,8.7
536,2024-07-29,Emerson,NAT,Mixed,RV,926,3.2,41.9,55.3,2.8
537,2024-07-29,YouGov,GA,Online,RV,1074,3,50.2,45.7,4.1
538,2024-07-29,RMG Research,PA,Mixed,RV,985,3.1,48.7,45.2,6.2
539,2024-07-29,YouGov,NAT,Online,RV,1027,3.1,45.8,50.6,3.6
540,2024-07-29,RMG Research,GA,Mixed,RV,927,3.2,47.9,44.3,7.8
541,2024-07-30,YouGov,NV,Online,RV,1030,3.1,41.7,49.4,8.8
542,2024-07-30,YouGov,AZ,Online,RV,814,3.4,46.7,47.7,5.6
543,2024-07-30,YouGov,WI,Online,RV,1050,3,46.5,48.8,4.8
544,2024-07-30,Siena College,NV,Phone,RV,926,3.2,45.6,49.4,5.1
545,2024-07-30,RMG Research,PA,Mixed,RV,1208,2.8,47.8,44.6,7.6
546,2024-07-30,YouGov,NV,Online,RV,1076,3,47.9,51.9,0.3
547,2024-07-30,Emerson,NAT,Mixed,RV,960,3.2,43.9,48.8,7.3
548,2024-07-31,Emerson,NAT,Mixed,RV,973,3.1,48,47,5
549,2024-07-31,RMG Research,NAT,Mixed,RV,1213,2.8,55.9,42.6,1.5
550,2024-07-31,RMG Research,AZ,Mixed,RV,1018,3.1,45.8,48.5,5.7
551,2024-07-31,YouGov,MI,Online,RV,1033,3,49.3,47.2,3.5
552,2024-07-31,YouGov,GA,Online,LV,1042,3,46.6,46.7,6.7
553,2024-08-01,Morning Consult,GA,Online,LV,742,3.6,48.8,45.9,5.3
554,2024-08-01,Siena College,NAT,Phone,LV,1056,3,48.4,48,3.7
555,2024-08-01,YouGov,WI,Online,LV,1087,3,45.8,49.5,4.8
556,2024-08-01,Morning Consult,PA,Online,LV,1132,2.9,45.1,46.5,8.4
557,2024-08-01,Morning Consult,MI,Online,RV,1182,2.9,49,46.5,4.5
558,2024-08-02,YouGov,NV,Online,RV,937,3.2,44.7,52.8,2.5
559,2024-08-02,Emerson,PA,Mixed,RV,1066,3,52.1,45.3,2.5
560,2024-08-02,Emerson,PA,Mixed,LV,1191,2.8,48.1,45.2,6.7
561,2024-08-02,YouGov,WI,Online,LV,908,3.3,47.7,46.4,5.9
562,2024-08-02,Siena College,AZ,Phone,LV,882,3.3,45.7,48.6,5.6
563,2024-08-03,Siena College,NV,Phone,LV,981,3.1,46.7,50.9,2.4
564,2024-08-03,Morning Consult,MI,Online,LV,1036,3,48.4,48.6,2.9
565,2024-08-03,Morning Consult,NV,Online,RV,695,3.7,47.5,47.4,5.1
566,2024-08-03,Siena College,WI,Phone,RV,998,3.1,50.2,44.4,5.4
567,2024-08-03,YouGov,PA,Online,LV,937,3.2,47.7,46.1,6.2
568,2024-08-03,RMG Research,GA,Mixed,LV,1078,3,50,43.8,6.2
569,2024-08-03,Morning Consult,PA,Online,RV,874,3.3,46.3,45.4,8.3
570,2024-08-03,Emerson,AZ,Mixed,LV,1095,3,47.8,46.6,5.5
571,2024-08-03,Emerson,NV,Mixed,LV,1116,2.9,46.4,48.9,4.7
572,2024-08-03,Emerson,MI,Mixed,RV,963,3.2,51.1,46.4,2.5
573,2024-08-04,RMG Research,AZ,Mixed,LV,1070,3,49.2,46.6,4.2
574,2024-08-04,Emerson,NAT,Mixed,LV,1057,3,43.4,52.5,4.1
575,2024-08-04,YouGov,NV,Online,RV,992,3.1,46.2,50,3.8
576,2024-08-04,RMG Research,GA,Mixed,LV,864,3.3,45.1,47.8,7.1
577,2024-08-05,Emerson,GA,Mixed,LV,1118,2.9,48.8,44.5,6.7
578,2024-08-05,Emerson,MI,Mixed,LV,1020,3.1,45.9,48.3,5.9
579,2024-08-05,RMG Research,GA,Mixed,LV,1044,3,46,47.2,6.8
580,2024-08-05,RMG Research,GA,Mixed,RV,1082,3,48.4,48.6,2.9
581,2024-08-05,YouGov,WI,Online,RV,858,3.3,47.1,45.7,7.2
582,2024-08-05,Morning Consult,GA,Online,RV,987,3.1,47.8,47.5,4.8
583,2024-08-06,Emerson,PA,Mixed,LV,1020,3.1,49.4,49.2,1.4
584,2024-08-06,YouGov,NAT,Online,LV,885,3.3,52,45.7,2.3
585,2024-08-06,Morning Consult,NAT,Online,RV,991,3.1,44.6,46.4,9
586,2024-08-06,Siena College,AZ,Phone,RV,823,3.4,45.9,48.1,6
587,2024-08-06,YouGov,MI,Online,LV,997,3.1,47.5,46.2,6.3
588,2024-08-07,RMG Research,PA,Mixed,LV,1159,2.9,48.8,45.4,5.9
589,2024-08-07,YouGov,AZ,Online,LV,986,3.1,45.3,49.4,5.3
590,2024-08-07,Siena College,MI,Phone,RV,938,3.2,50.1,44.3,5.6
591,2024-08-09,RMG Research,GA,Mixed,RV,1006,3.1,49.8,47.2,3.1
592,2024-08-09,Siena College,WI,Phone,LV,963,3.2,44.1,46.4,9.5
593,2024-08-09,Siena College,NAT,Phone,LV,1191,2.8,47.2,48.2,4.7
594,2024-08-10,Siena College,NAT,Phone,LV,755,3.6,39.8,53.5,6.7
595,2024-08-10,Morning Consult,AZ,Online,LV,1034,3,45.8,47.6,6.5
596,2024-08-11,YouGov,NAT,Online,RV,832,3.4,51.4,43.6,5
597,2024-08-11,Siena College,NAT,Phone,RV,1077,3,48.3,48.5,3.2
598,2024-08-12,Morning Consult,WI,Online,RV,1073,3,47.2,44.5,8.4
599,2024-08-12,Emerson,NAT,Mixed,LV,1064,3,53.6,43,3.4
600,2024-08-12,YouGov,NV,Online,LV,1126,2.9,51.3,46.3,2.4
601,2024-08-12,RMG Research,NAT,Mixed,LV,942,3.2,46.3,48.3,5.4
602,2024-08-12,Emerson,GA,Mixed,LV,761,3.6,45.3,46.7,8
603,2024-08-12,Emerson,NAT,Mixed,LV,840,3.4,46.1,49.5,4.4
604,2024-08-12,Siena College,GA,Phone,LV,1178,2.9,47.2,47.1,5.7
605,2024-08-12,Morning Consult,PA,Online,RV,882,3.3,47.7,46.4,5.8
606,2024-08-13,YouGov,AZ,Online,LV,1097,3,46.4,49.6,4
607,2024-08-13,Morning Consult,WI,Online,LV,833,3.4,44.6,49.8,5.6
608,2024-08-14,YouGov,GA,Online,LV,1020,3.1,50.9,47,2.1
609,2024-08-14,Siena College,WI,Phone,RV,1079,3,51,44.2,4.8
610,2024-08-14,Siena College,GA,Phone,LV,928,3.2,48.2,49.7,2.2
611,2024-08-15,Siena College,MI,Phone,RV,811,3.4,48.8,42.5,8.7
612,2024-08-15,YouGov,MI,Online,RV,1012,3.1,46.7,50.9,2.4
613,2024-08-16,Morning Consult,PA,Online,LV,884,3.3,52.2,41.6,6.1
614,2024-08-16,YouGov,NV,Online,RV,1041,3,45.3,48.5,6.2
615,2024-08-16,RMG Research,AZ,Mixed,RV,932,3.2,49.1,48,2.9
616,2024-08-16,YouGov,AZ,Online,LV,882,3.3,46.6,51.9,1.6
617,2024-08-16,RMG Research,WI,Mixed,LV,960,3.2,44.3,46.7,9
618,2024-08-17,RMG Research,MI,Mixed,LV,993,3.1,45.9,48.1,6
619,2024-08-17,Siena College,MI,Phone,LV,1048,3,45.6,51.3,3.2
620,2024-08-17,Morning Consult,PA,Online,RV,1160,2.9,53.1,45.2,1.7
621,2024-08-17,Emerson,GA,Mixed,LV,1084,3,48,45.2,6.8
622,2024-08-17,Emerson,NAT,Mixed,LV,961,3.2,48.9,43.7,7.4
623,2024-08-18,Morning Consult,NAT,Online,LV,1046,3,47,46.8,6.2
624,2024-08-18,Morning Consult,NAT,Online,LV,1004,3.1,46.6,47.6,5.8
625,2024-08-18,RMG Research,MI,Mixed,LV,923,3.2,46.4,47.8,5.8
626,2024-08-18,Emerson,MI,Mixed,RV,960,3.2,50.9,40.6,8.5
627,2024-08-18,Siena College,NAT,Phone,RV,852,3.4,53.3,39.9,6.8
628,2024-08-18,Morning Consult,AZ,Online,RV,772,3.5,45.8,43.8,10.5
629,2024-08-18,YouGov,NV,Online,LV,1111,2.9,49.7,42.9,7.4
630,2024-08-18,Morning Consult,NV,Online,RV,1203,2.8,42.5,51.3,6.1
631,2024-08-19,Morning Consult,NAT,Online,RV,976,3.1,44.8,50.5,4.7
632,2024-08-20,Siena College,GA,Phone,LV,899,3.3,48.1,49,2.9
633,2024-08-20,Emerson,GA,Mixed,LV,1147,2.9,43,50.6,6.4
634,2024-08-21,Morning Consult,PA,Online,LV,1042,3,49.9,44.9,5.2
635,2024-08-21,YouGov,AZ,Online,RV,950,3.2,47.2,50.7,2.1
636,2024-08-21,RMG Research,NAT,Mixed,RV,1038,3,50.8,46.1,3.1
637,2024-08-21,Emerson,NAT,Mixed,LV,738,3.6,45.5,48.5,6
638,2024-08-21,Morning Consult,NAT,Online,RV,1190,2.8,50.2,43.5,6.3
639,2024-08-21,Emerson,NAT,Mixed,LV,856,3.3,46.6,50.3,3.1
640,2024-08-21,Siena College,NAT,Phone,RV,849,3.4,48.2,44.2,7.6
641,2024-08-21,RMG Research,NAT,Mixed,RV,941,3.2,53.2,44.2,2.6
642,2024-08-22,Morning Consult,AZ,Online,LV,924,3.2,46.7,49.2,4.1
643,2024-08-22,Emerson,MI,Mixed,LV,923,3.2,50,45.7,4.3
644,2024-08-22,Morning Consult,WI,Online,LV,934,3.2,52.8,45.7,1.5
645,2024-08-22,Morning Consult,AZ,Online,LV,1094,3,50.9,46.7,2.4
646,2024-08-23,Morning Consult,NV,Online,LV,862,3.3,44.1,53.3,2.6
647,2024-08-23,YouGov,AZ,Online,RV,1031,3.1,48.2,47,4.8
648,2024-08-23,YouGov,NAT,Online,LV,984,3.1,44.1,49.1,6.9
649,2024-08-23,YouGov,NV,Online,LV,909,3.3,40.2,51.4,8.3
650,2024-08-23,YouGov,GA,Online,LV,1081,3,43.1,52.5,4.4
651,2024-08-23,YouGov,NV,Online,LV,964,3.2,47.5,43.4,9.1
652,2024-08-24,Emerson,NV,Mixed,LV,907,3.3,46.8,47.7,5.5
653,2024-08-24,Emerson,MI,Mixed,LV,923,3.2,47.3,48.3,4.3
654,2024-08-24,Morning Consult,MI,Online,LV,952,3.2,45.6,50.5,3.8
655,2024-08-24,YouGov,PA,Online,RV,894,3.3,51.4,42.9,5.6
